Date,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
12/2014,0.00207902956424,0.0002441373099435,0.0002414958770805,0.0072221930028235,0.51515941815,0.3754655469205,0.074050356763325,0.025537821396607
12/2015,0.002306734347196267,0.006512558781536515,0.0027546706967909998,0.0001267265050694505,0.21823301279255553,0.7461784687038067,0.018635995742174154,0.005251830553487505
12/2009,0.001782135667845429,0.007518265196660911,0.0025238326931478713,0.00012685528381697894,0.6022148555714286,0.3769204323985528,0.007619667847910688,0.0012939459674920443
12/2010,0.0039253233234675,0.00124100452075,0.0023268959905,0.00011818488352625,0.2557322314525,0.631027150325,0.0021903239619425,0.10343887298999999
12/2012,0.05838640276345892,0.0030730231878658386,0.003912749440302857,6.885264381017337e-05,0.3332257692290714,0.3097936803909291,0.25696263718587764,0.03457689031063232
12/2011,0.0216259628715,0.0070396737000000004,0.0087258631755,1.2453628264e-05,0.4431600978463,0.5086741635,0.010211624294,0.00055016030225
12/2013,0.0032103282235623333,0.003641942059858167,0.0008478045608483333,2.9090897068093336e-05,0.6481534545666666,0.341654657260267,0.0010859325695583334,0.0013767875168666666
